manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_type,body_type,drivetrain,price_usd,reliability
Subaru,Outback,automatic,violet,377000,1999,gasoline,gasoline,universal,all,3800,2.58
Subaru,Impreza,mechanical,black,300000,1999,gasoline,gasoline,universal,all,3000,0.06
Subaru,Legacy,mechanical,black,270000,2004,gasoline,gasoline,sedan,all,6200,1.20
Subaru,Forester,mechanical,green,444444,1999,gasoline,gasoline,universal,all,3700,1.76
Subaru,Legacy,automatic,black,299000,1994,gas,gasoline,universal,all,650,0.03
Subaru,Impreza,mechanical,violet,340000,1993,gasoline,gasoline,universal,all,2000,3.62
Subaru,Legacy,mechanical,black,123456,1991,gasoline,gasoline,sedan,all,800,0.05
Subaru,Impreza,mechanical,silver,118000,2011,gasoline,gasoline,sedan,all,14950,2.78
Subaru,Impreza,automatic,black,246113,2008,gasoline,gasoline,hatchback,all,5350,3.73
Subaru,Outback,automatic,green,128748,2016,gasoline,gasoline,universal,all,17059.12,3.19
Subaru,Legacy,mechanical,red,100000,1994,gasoline,gasoline,sedan,all,1700,1.14
Subaru,Outback,automatic,blue,342790,1999,gasoline,gasoline,universal,all,3500,1.20
Subaru,Forester,mechanical,silver,390000,1997,gasoline,gasoline,suv,all,3000,3.14
Subaru,Forester,automatic,black,215000,2008,gasoline,gasoline,universal,all,8100,3.39
Subaru,Outback,mechanical,grey,288500,2006,gas,gasoline,universal,all,8500,2.95
Subaru,Tribeca,automatic,grey,225000,2005,gas,gasoline,suv,all,7500,4.35
Subaru,Outback,automatic,green,310000,2001,gasoline,gasoline,liftback,all,3300,1.22
Subaru,Forester,automatic,white,121000,2014,gasoline,gasoline,suv,all,14950,3.69
Subaru,Forester,automatic,blue,242000,2003,gasoline,gasoline,suv,all,4490,0.51
Subaru,Outback,mechanical,green,286,1998,gasoline,gasoline,universal,all,2650,4.20
Subaru,Legacy,automatic,grey,209000,2007,gasoline,gasoline,sedan,all,6950,4.75
Subaru,Legacy,mechanical,silver,195000,2006,gasoline,gasoline,sedan,all,8200,2.25
Subaru,Outback,automatic,black,126705,2014,gasoline,gasoline,universal,all,16500,3.11
Subaru,Outback,automatic,other,164153,2008,gasoline,gasoline,universal,all,8500,1.00
Subaru,Impreza,mechanical,blue,143000,2009,gasoline,gasoline,hatchback,front,6450,1.98
Subaru,Outback,mechanical,white,463491,2002,gasoline,gasoline,universal,all,3150,3.61
Subaru,Legacy,mechanical,green,321869,1998,gasoline,gasoline,universal,all,1900,1.05
Subaru,Legacy,mechanical,other,250000,2005,gasoline,gasoline,sedan,all,4899,4.87
Subaru,Forester,mechanical,black,260000,1999,gasoline,gasoline,universal,all,2500,4.20
Subaru,Forester,mechanical,green,300000,1999,gasoline,gasoline,suv,all,1700,3.80
Subaru,Forester,automatic,red,358047,1999,gasoline,gasoline,universal,all,1800,0.43
Subaru,Forester,mechanical,blue,296000,2003,gas,gasoline,universal,all,6150,0.17
Subaru,XV,automatic,orange,183000,2012,gasoline,gasoline,suv,all,12900,0.77
Subaru,Legacy,automatic,red,116000,2010,gasoline,gasoline,sedan,all,7250,1.63
Subaru,Legacy,mechanical,blue,450000,1995,gasoline,gasoline,universal,all,900,3.90
Subaru,Outback,automatic,brown,180000,2008,gasoline,gasoline,universal,all,9400,4.12
Subaru,Forester,mechanical,black,343455,2001,gasoline,gasoline,universal,all,3300,0.46
Subaru,Legacy,automatic,white,202777,2009,gasoline,gasoline,sedan,all,8200,2.85
Subaru,Forester,automatic,black,230000,2001,gas,gasoline,suv,all,4200,1.99
Subaru,Justy,mechanical,red,80000,1992,gasoline,gasoline,hatchback,all,2100,0.85
Subaru,Legacy,automatic,green,408263,1999,gasoline,gasoline,universal,all,1499,4.18
Subaru,Outback,automatic,black,193,2010,gasoline,gasoline,universal,all,9800,4.73
Subaru,Legacy,automatic,silver,300000,1998,gasoline,gasoline,universal,all,2500,1.38
Subaru,Outback,mechanical,green,285000,2001,gasoline,gasoline,universal,all,3650,4.55
Subaru,Impreza,mechanical,red,363500,1994,gasoline,gasoline,universal,front,1400,4.24
Subaru,Legacy,mechanical,silver,127138,2005,gasoline,gasoline,sedan,all,5400,0.94
Subaru,XV,automatic,grey,88000,2014,gasoline,gasoline,suv,all,12950,0.25
Subaru,Forester,automatic,black,128000,2012,gasoline,gasoline,suv,all,15490,5.00
Subaru,Outback,automatic,blue,177000,2010,gasoline,gasoline,universal,all,13500,4.59
Subaru,Forester,mechanical,silver,350000,2000,gasoline,gasoline,universal,all,2000,4.52
Subaru,Forester,mechanical,grey,173000,2005,gasoline,gasoline,suv,all,7500,2.11
Subaru,Forester,automatic,blue,280000,2004,gasoline,gasoline,suv,all,5800,0.17
Subaru,Forester,mechanical,green,270000,1998,gasoline,gasoline,suv,front,2750,1.24
Subaru,Outback,automatic,other,310000,1996,gasoline,gasoline,universal,all,3299,2.39
Subaru,Legacy,mechanical,green,450000,1996,gasoline,gasoline,universal,all,1400,1.13
Subaru,Tribeca,automatic,blue,179000,2008,gasoline,gasoline,suv,all,9900,4.24
Subaru,Forester,automatic,silver,175000,2013,gasoline,gasoline,universal,all,15900,4.66
Subaru,Impreza,mechanical,blue,130000,2008,gasoline,gasoline,hatchback,all,13500,1.68
Subaru,Forester,automatic,silver,305000,1999,gasoline,gasoline,suv,all,3750,1.24
Subaru,Legacy,automatic,silver,294000,1999,gasoline,gasoline,universal,all,3400,4.64
Subaru,Outback,mechanical,violet,353000,2000,gasoline,gasoline,universal,all,4250,2.73
Subaru,Forester,mechanical,black,400000,2003,gasoline,gasoline,universal,all,5500,4.80
Subaru,Impreza,mechanical,green,329786,2001,gasoline,gasoline,universal,all,4100,2.18
Subaru,Impreza,mechanical,red,230000,2003,gasoline,gasoline,universal,all,7000,0.63
Subaru,Forester,mechanical,blue,160000,2010,gasoline,gasoline,suv,all,12600,1.25
Subaru,Tribeca,automatic,yellow,279000,2008,gasoline,gasoline,suv,all,5400,2.68
Subaru,Impreza,automatic,silver,80000,2016,gasoline,gasoline,sedan,all,14500,3.64
Subaru,Legacy,automatic,blue,394289,2002,gasoline,gasoline,universal,all,3900,3.86
Subaru,Outback,automatic,blue,256000,2012,gasoline,gasoline,universal,all,14227.45,1.39
Subaru,Outback,automatic,silver,160000,2011,gasoline,gasoline,suv,all,17000,1.01
Subaru,Forester,mechanical,black,218000,1997,gasoline,gasoline,suv,all,3750,4.06
Subaru,Forester,automatic,silver,273588,2006,gasoline,gasoline,universal,all,6000,1.56
Subaru,Forester,mechanical,black,103975,2011,gasoline,gasoline,suv,all,15500,0.13
Subaru,Legacy,mechanical,blue,330000,1995,gasoline,gasoline,sedan,all,1900,4.08
Subaru,Impreza,automatic,black,205328,2008,gasoline,gasoline,hatchback,all,6499,1.98
Subaru,Outback,automatic,blue,353624,2001,gasoline,gasoline,universal,all,5250,0.59
Subaru,Justy,mechanical,silver,170000,2008,gasoline,gasoline,minivan,front,5199,1.90
Subaru,Outback,automatic,other,370000,2004,gasoline,gasoline,universal,all,6000,1.44
Subaru,Forester,automatic,black,233000,2000,gasoline,gasoline,universal,all,6800,0.55
Subaru,Impreza,mechanical,green,354056,1998,gasoline,gasoline,universal,all,1900,0.38
Subaru,Forester,automatic,black,160000,2010,gasoline,gasoline,suv,all,8650,3.23
Subaru,Legacy,mechanical,silver,295000,1996,gasoline,gasoline,universal,all,1565.02,2.66
Subaru,Outback,automatic,grey,100000,2012,gasoline,gasoline,universal,all,16300,1.64
Subaru,Impreza,mechanical,green,180000,1998,gasoline,gasoline,sedan,front,6900,0.12
Subaru,Outback,automatic,green,60000,2001,gasoline,gasoline,universal,all,2900,4.53
Subaru,Legacy,mechanical,silver,185075,2003,gasoline,gasoline,sedan,all,7000,1.33
Subaru,Outback,automatic,blue,405555,2001,gasoline,gasoline,universal,all,4990,4.71
Subaru,Impreza,mechanical,other,185000,2008,gasoline,gasoline,sedan,all,6300,3.79
Subaru,Legacy,automatic,red,152888,2009,gasoline,gasoline,sedan,all,11000,4.77
Subaru,Impreza,mechanical,silver,193000,2009,gasoline,gasoline,hatchback,front,7000,3.04
Subaru,Forester,mechanical,green,197,1999,gasoline,gasoline,universal,all,3000,0.34
Subaru,Forester,automatic,blue,162544,2010,gas,gasoline,suv,all,9700,4.50
Subaru,Forester,mechanical,blue,46671,2017,gasoline,gasoline,suv,all,8790,4.43
Subaru,Outback,automatic,red,56800,2015,gasoline,gasoline,universal,all,23400,1.84
Subaru,Legacy,automatic,black,260000,2007,gasoline,gasoline,sedan,all,6800,2.13
Subaru,Justy,mechanical,black,150000,2010,gasoline,gasoline,hatchback,front,6450,4.98
Subaru,Legacy,automatic,green,334567,1992,gasoline,gasoline,universal,all,1600,4.61
Subaru,Leone,mechanical,blue,350000,1987,gasoline,gasoline,universal,all,1500,3.61
Subaru,Legacy,mechanical,silver,388000,1996,gasoline,gasoline,universal,all,2300,2.71
Subaru,Justy,mechanical,silver,96370,2009,gasoline,gasoline,hatchback,front,5500,4.21
Subaru,Legacy,automatic,grey,300000,2007,gasoline,gasoline,universal,all,5999,3.55
Subaru,Impreza,automatic,white,280000,2007,gasoline,gasoline,sedan,all,9000,1.46
Subaru,WRX,automatic,white,69500,2014,gasoline,gasoline,sedan,all,24900,0.99
Subaru,Outback,automatic,white,237000,2004,gasoline,gasoline,universal,all,6150,1.50
Subaru,Forester,automatic,silver,289740,2001,gas,gasoline,universal,all,4200,2.84
Subaru,Legacy,automatic,silver,164000,2001,gasoline,gasoline,sedan,all,3700,1.18
Subaru,Impreza,automatic,red,280000,1997,gasoline,gasoline,sedan,front,1500,2.92
Subaru,XV,automatic,grey,95000,2012,gasoline,gasoline,suv,all,12999,3.62
Subaru,Impreza,automatic,grey,95000,2012,gasoline,gasoline,hatchback,all,12999,0.62
Subaru,Forester,mechanical,grey,193000,2008,diesel,diesel,suv,all,9481.65,0.47
Subaru,Legacy,mechanical,black,225000,2006,gasoline,gasoline,sedan,all,6800,3.96
Subaru,Outback,automatic,silver,306000,2007,gasoline,gasoline,universal,all,7700,5.00
Subaru,Outback,automatic,black,362102,1997,gasoline,gasoline,universal,all,2800,2.57
Subaru,Forester,automatic,white,80467,2015,gasoline,gasoline,suv,all,22850,0.06
Subaru,Forester,automatic,white,300000,1998,gasoline,gasoline,universal,all,4990,0.59
Subaru,Legacy,automatic,silver,270370,2006,gasoline,gasoline,sedan,all,7000,4.24
Subaru,XV,automatic,red,100000,2012,gasoline,gasoline,suv,all,14000,3.37
Subaru,Impreza,mechanical,white,236000,1999,gasoline,gasoline,universal,all,3599,1.00
Subaru,Legacy,automatic,blue,350000,2004,gasoline,gasoline,sedan,all,4500,3.24
Subaru,Outback,automatic,other,370149,1996,gasoline,gasoline,universal,all,3290,1.80
Subaru,Forester,automatic,green,330000,1998,gasoline,gasoline,universal,all,4200,2.97
Subaru,Tribeca,automatic,grey,252000,2007,gasoline,gasoline,suv,all,8200,2.72
Subaru,Legacy,mechanical,other,343444,1996,gasoline,gasoline,universal,front,1800,4.98
Subaru,Legacy,mechanical,green,212000,1994,gasoline,gasoline,universal,all,2000,0.39
Subaru,Outback,automatic,other,50000,2009,gasoline,gasoline,suv,all,14300,0.78
Subaru,Impreza,mechanical,silver,295000,1998,gasoline,gasoline,sedan,all,1400,4.28
Subaru,Forester,automatic,other,116000,2015,gasoline,gasoline,suv,all,18900,3.06
Subaru,Impreza,mechanical,black,182000,2007,gasoline,gasoline,sedan,all,5500,3.51
Subaru,Forester,mechanical,red,226800,2001,gasoline,gasoline,universal,all,3799,3.37
Subaru,Impreza,automatic,white,339572,1997,gasoline,gasoline,universal,all,1600,4.61
Subaru,Tribeca,automatic,other,104000,2012,gasoline,gasoline,suv,all,13500,0.70
Subaru,Outback,automatic,black,187000,2011,gasoline,gasoline,universal,all,12300,3.13
Subaru,Forester,automatic,grey,92300,2012,gas,gasoline,suv,all,14499,2.43
Subaru,Forester,automatic,black,135000,2014,gasoline,gasoline,suv,all,19500,0.37
Subaru,XV,mechanical,blue,76000,2015,diesel,diesel,hatchback,front,14000,0.08
Subaru,XV,mechanical,grey,72000,2014,gasoline,gasoline,suv,all,14938.82,1.03
Subaru,Tribeca,automatic,blue,35000,2006,gasoline,gasoline,suv,all,6600,4.51
Subaru,Outback,automatic,blue,170000,2010,gasoline,gasoline,universal,all,11550,3.27
Subaru,Forester,mechanical,black,364000,2008,gasoline,gasoline,universal,all,9050,3.96
Subaru,XV,automatic,grey,25480,2014,gasoline,gasoline,hatchback,all,19499,3.74
Subaru,Legacy,mechanical,black,144841,2009,gasoline,gasoline,sedan,all,10500,4.21
Subaru,Legacy,automatic,silver,280000,2004,gasoline,gasoline,universal,all,2800,0.07
Subaru,Outback,automatic,grey,187000,2010,gasoline,gasoline,universal,all,11650,1.32
Subaru,Forester,automatic,other,45250,2016,gasoline,gasoline,suv,all,28950,2.28
Subaru,Forester,automatic,other,80467,2016,gasoline,gasoline,suv,all,27950,0.45
Subaru,Tribeca,automatic,grey,145000,2007,gasoline,gasoline,suv,all,10750,0.66
Subaru,Legacy,automatic,violet,333134,1998,gasoline,gasoline,sedan,all,1800,2.30
Subaru,Outback,automatic,white,175000,2011,gasoline,gasoline,universal,all,12200,1.87
Subaru,Forester,mechanical,black,170000,1999,gasoline,gasoline,suv,all,7000,1.82
Subaru,Impreza,automatic,blue,180000,2007,gasoline,gasoline,hatchback,all,6650,2.86
Subaru,Outback,mechanical,other,292901,2004,gasoline,gasoline,universal,all,7100,3.93
Subaru,Outback,automatic,silver,380000,2005,gasoline,gasoline,universal,all,7000,4.47
Subaru,Outback,automatic,other,328000,2000,gasoline,gasoline,universal,all,4000,0.24
Subaru,Legacy,mechanical,silver,235000,2007,gasoline,gasoline,sedan,all,7100,1.63
Subaru,Legacy,mechanical,green,26500,1994,gasoline,gasoline,universal,all,1896.99,3.04
Subaru,Legacy,mechanical,blue,273588,2000,gasoline,gasoline,universal,all,2950,2.86
Subaru,Forester,mechanical,silver,221100,2006,gasoline,gasoline,sedan,all,5500,1.40
Subaru,Outback,automatic,black,198242,2005,gasoline,gasoline,universal,all,6800,3.97
Subaru,Outback,mechanical,blue,263105,2005,gasoline,gasoline,universal,all,7000,1.36
Subaru,Forester,automatic,silver,109000,2014,gasoline,gasoline,universal,all,17000,1.04
Subaru,Outback,mechanical,black,350000,2005,gasoline,gasoline,universal,all,6200,2.68
Subaru,Legacy,automatic,green,200000,1998,gas,gasoline,universal,all,1950,0.03
Subaru,Forester,automatic,black,193121,2010,gasoline,gasoline,suv,all,10499,2.88
Subaru,Forester,automatic,other,241402,2001,gasoline,gasoline,universal,all,4000,3.53
Subaru,Legacy,mechanical,green,250000,1997,gasoline,gasoline,universal,all,2300,2.91
Subaru,Legacy,automatic,blue,321869,1998,gasoline,gasoline,sedan,all,2500,4.85
Subaru,Legacy,mechanical,silver,239065,2005,gas,gasoline,universal,all,6900,2.33
Subaru,Legacy,mechanical,silver,25000,1994,gasoline,gasoline,universal,front,800,4.07
Subaru,Legacy,automatic,white,185000,2010,gasoline,gasoline,sedan,all,11990,0.28
Subaru,Outback,automatic,blue,350000,2002,gasoline,gasoline,universal,all,4000,2.29
Subaru,Forester,automatic,black,198000,2008,gasoline,gasoline,suv,all,10150,3.07
Subaru,Legacy,automatic,black,205000,2006,gasoline,gasoline,sedan,all,6200,3.48
Subaru,Tribeca,automatic,grey,154000,2008,gasoline,gasoline,suv,all,8900,4.18
Subaru,Forester,automatic,white,225308,2008,gasoline,gasoline,suv,all,11000,3.18
Subaru,Libero,mechanical,green,178900,1992,gasoline,gasoline,minibus,all,2134.12,1.25
Subaru,Forester,automatic,red,176000,2012,gasoline,gasoline,suv,all,11300,3.95
Subaru,Outback,automatic,black,240000,2012,gasoline,gasoline,universal,all,15500,1.94
Subaru,Legacy,automatic,silver,325000,2003,gasoline,gasoline,sedan,all,4650,1.29
Subaru,Tribeca,automatic,white,140000,2007,gasoline,gasoline,suv,all,10700,0.99
Subaru,Legacy,automatic,blue,121000,2008,gasoline,gasoline,sedan,all,10300,0.85
Subaru,Outback,automatic,green,347000,2001,gasoline,gasoline,universal,all,3950,2.35
Subaru,Justy,mechanical,black,122000,2009,gasoline,gasoline,hatchback,front,6200,4.44
Subaru,Impreza,automatic,other,289682,2002,gasoline,gasoline,universal,all,3000,0.83
Subaru,Impreza,mechanical,white,98000,2012,gasoline,gasoline,sedan,all,14500,3.25
Subaru,XV,automatic,silver,93342,2012,gasoline,gasoline,suv,all,13800,1.83
Subaru,Outback,automatic,other,52000,2015,gasoline,gasoline,suv,all,35500,3.01
Subaru,Forester,automatic,silver,199500,2007,gasoline,gasoline,suv,all,7300,1.08
Subaru,Tribeca,automatic,grey,160934,2011,gas,gasoline,suv,all,14000,2.33
Subaru,Forester,mechanical,green,344400,1997,gasoline,gasoline,suv,all,3414.59,1.06
Subaru,Impreza,mechanical,blue,155000,2005,gasoline,gasoline,sedan,all,9800,4.62
Subaru,Impreza,mechanical,blue,97000,2005,gasoline,gasoline,sedan,all,8200,0.10
Subaru,Legacy,mechanical,grey,222089,2008,gasoline,gasoline,sedan,all,10100,0.29
Subaru,Impreza,mechanical,black,190000,2006,gasoline,gasoline,sedan,all,11500,2.24
Subaru,Outback,automatic,other,13000,2018,gasoline,gasoline,universal,all,27000,2.36
Subaru,Legacy,mechanical,red,280000,1990,gasoline,gasoline,sedan,all,1500,3.29
Subaru,Forester,automatic,black,150200,2008,gasoline,gasoline,suv,all,8999,3.53
Subaru,Forester,automatic,green,228527,1999,gasoline,gasoline,universal,all,4000,0.99
Subaru,Outback,automatic,silver,180000,2005,gasoline,gasoline,universal,all,6500,3.22
Subaru,Legacy,mechanical,black,350000,1993,gas,gasoline,sedan,front,1000,4.50
Subaru,Outback,mechanical,blue,449007,2001,gasoline,gasoline,universal,all,2500,3.30
Subaru,Outback,automatic,black,241402,2010,gasoline,gasoline,universal,all,13400,1.49
Subaru,Forester,mechanical,blue,453024,2001,gasoline,gasoline,universal,all,3000,2.49
Subaru,Outback,automatic,black,237000,2005,gasoline,gasoline,universal,all,7000,2.01
Subaru,Legacy,automatic,blue,390000,1997,gasoline,gasoline,universal,all,2300,3.29
Subaru,Forester,automatic,grey,305775,2007,gasoline,gasoline,universal,all,9600,4.94
Subaru,Forester,mechanical,red,518209,1999,gasoline,gasoline,universal,all,3500,1.90
Subaru,Impreza,automatic,silver,287000,2003,gasoline,gasoline,universal,all,3400,3.15
Subaru,Forester,mechanical,silver,325000,2006,gas,gasoline,suv,all,6800,1.19
Subaru,Forester,automatic,black,390000,2002,gasoline,gasoline,sedan,all,4900,4.88
Subaru,Libero,mechanical,white,300000,1992,gasoline,gasoline,minivan,all,800,3.93
Subaru,Outback,automatic,black,500000,2001,gasoline,gasoline,universal,all,3777,2.15
Subaru,Legacy,mechanical,green,250000,2004,gasoline,gasoline,sedan,all,4700,3.33
Subaru,Forester,automatic,blue,179000,2000,gasoline,gasoline,universal,all,3600,1.31
Subaru,Legacy,automatic,grey,999999,1991,gasoline,gasoline,universal,all,400,2.57
Subaru,Forester,mechanical,green,270000,2008,diesel,diesel,suv,all,10200,2.82
Subaru,XV,automatic,green,200000,2014,gasoline,gasoline,hatchback,all,19500,4.32
Subaru,Impreza,automatic,green,465000,1998,gas,gasoline,universal,all,3000,3.16
Subaru,Outback,automatic,black,298533,2008,gasoline,gasoline,universal,all,7900,4.64
Subaru,Legacy,automatic,silver,300000,1990,gasoline,gasoline,universal,all,1150,1.80
Subaru,Impreza,automatic,grey,138404,2007,gasoline,gasoline,sedan,all,6500,1.30
Subaru,Tribeca,automatic,silver,140000,2008,gasoline,gasoline,suv,all,10100,2.92
Subaru,Forester,mechanical,green,276807,1998,gasoline,gasoline,suv,all,2750,4.83
Subaru,Forester,automatic,white,176000,2011,gasoline,gasoline,universal,all,11100,3.35
Subaru,Legacy,mechanical,blue,140000,2000,gasoline,gasoline,sedan,all,3500,4.96
Subaru,Forester,automatic,blue,160000,2012,gasoline,gasoline,suv,all,12350,0.42
Subaru,Forester,automatic,blue,595457,2001,gas,gasoline,suv,all,2700,0.34
Subaru,Impreza,mechanical,silver,58270,2009,gasoline,gasoline,hatchback,front,6750,4.32
Subaru,Impreza,automatic,silver,222000,2008,gasoline,gasoline,hatchback,all,8700,3.94
Subaru,Impreza,mechanical,blue,172000,2006,gasoline,gasoline,sedan,all,11000,0.50
Subaru,Impreza,automatic,silver,274000,2006,gasoline,gasoline,sedan,all,11500,3.26
Subaru,Legacy,mechanical,blue,329916,1999,gasoline,gasoline,universal,all,2700,4.13
Subaru,Legacy,automatic,white,260000,1999,gasoline,gasoline,sedan,all,3400,2.52
Subaru,Outback,mechanical,black,234000,2009,diesel,diesel,universal,all,9950,4.84
Subaru,Legacy,automatic,other,280000,2004,gasoline,gasoline,sedan,all,8500,3.71
Subaru,Tribeca,automatic,blue,300947,2006,gasoline,gasoline,suv,all,5500,4.04
Subaru,Forester,mechanical,white,280000,1998,gasoline,gasoline,suv,all,4850,4.76
Subaru,Forester,automatic,blue,156000,2008,gasoline,gasoline,suv,all,9150,0.39
Subaru,Outback,mechanical,other,200000,2004,gasoline,gasoline,universal,all,7200,0.80
Subaru,Impreza,mechanical,red,368000,1994,gasoline,gasoline,sedan,all,948.5,1.01
Subaru,Outback,automatic,silver,299000,2006,gasoline,gasoline,universal,all,7000,1.48
Subaru,Impreza,mechanical,blue,164000,2002,gasoline,gasoline,sedan,all,4742.47,0.90
Subaru,Forester,automatic,white,140013,2008,gasoline,gasoline,suv,all,11000,1.52
Subaru,Outback,automatic,blue,232000,2010,gasoline,gasoline,universal,all,14000,2.45
Subaru,Tribeca,automatic,grey,257495,2007,gasoline,gasoline,suv,all,9900,1.83
Subaru,Forester,automatic,silver,120000,2009,gasoline,gasoline,suv,all,12800,3.12
Subaru,Outback,automatic,green,304166,1998,gasoline,gasoline,universal,all,1850,1.17
Subaru,Forester,automatic,green,257500,2000,gasoline,gasoline,universal,all,3000,1.69
Subaru,Outback,automatic,other,145000,1999,gasoline,gasoline,universal,all,3700,4.14
Subaru,Forester,automatic,green,265000,2004,gas,gasoline,universal,all,6700,2.23
Subaru,Impreza,automatic,grey,142000,2010,gasoline,gasoline,hatchback,all,9777,1.98
Subaru,Outback,automatic,green,260000,2002,gasoline,gasoline,universal,all,4700,0.92
Subaru,Tribeca,automatic,grey,241402,2008,gasoline,gasoline,suv,all,10000,2.77
Subaru,Outback,automatic,black,289682,2004,gas,gasoline,universal,all,7113.72,2.42
Subaru,Legacy,mechanical,red,212997,2001,gas,gasoline,sedan,all,3800,3.95
Subaru,Forester,automatic,grey,79000,2015,gasoline,gasoline,suv,all,19600,4.68
Subaru,Legacy,automatic,silver,386243,2002,gasoline,gasoline,sedan,all,4300,4.88
Subaru,Tribeca,automatic,black,237000,2006,gasoline,gasoline,suv,all,8600,0.71
Subaru,Impreza,automatic,silver,215000,2005,gasoline,gasoline,sedan,all,3800,3.36
Subaru,Impreza,mechanical,blue,190000,2006,gasoline,gasoline,sedan,all,7100,0.34
Subaru,Forester,automatic,other,170000,2008,gasoline,gasoline,suv,all,9000,1.06
Subaru,Legacy,mechanical,black,150000,2004,gasoline,gasoline,sedan,all,9000,0.98
Subaru,Forester,automatic,violet,275471,2001,gasoline,gasoline,universal,all,4000,1.03
Subaru,Legacy,automatic,white,225308,2011,gasoline,gasoline,sedan,all,12300,2.22
Subaru,Outback,automatic,green,233355,2010,gasoline,gasoline,suv,all,13500,1.56
LADA,Vesta,automatic,grey,64400,2017,gasoline,gasoline,sedan,front,8200,0.20
LADA,Largus,mechanical,silver,78932,2014,gasoline,gasoline,universal,front,7066.3,1.80
LADA,Vesta,mechanical,brown,46000,2018,gasoline,gasoline,universal,front,10600,2.98
LADA,Largus,mechanical,black,30500,2017,gasoline,gasoline,universal,front,8900,0.34
LADA,Vesta,automatic,red,35460,2018,gasoline,gasoline,universal,front,11450,2.69
LADA,Vesta,mechanical,red,0,2019,gasoline,gasoline,universal,front,12804.7,2.90
LADA,XRAY,mechanical,orange,0,2019,gasoline,gasoline,suv,front,12928,1.04
LADA,Vesta,automatic,brown,55378,2018,gasoline,gasoline,universal,front,11300,4.19
LADA,Vesta,automatic,orange,7610,2018,gasoline,gasoline,universal,front,12900,0.50
LADA,Vesta,mechanical,blue,18000,2018,gasoline,gasoline,universal,front,12500,1.77
LADA,Vesta,mechanical,black,75000,2018,gasoline,gasoline,universal,front,11450,3.36
LADA,XRAY,mechanical,brown,40000,2018,gasoline,gasoline,hatchback,front,9900,0.42
LADA,4x4,mechanical,grey,15228,2017,gasoline,gasoline,suv,all,6615.76,4.96
LADA,XRAY,automatic,other,40000,2017,gasoline,gasoline,suv,front,9950,0.90
LADA,4x4,mechanical,black,9000,2017,gasoline,gasoline,suv,all,7499,0.78
LADA,Priora,mechanical,silver,115000,2008,gasoline,gasoline,sedan,front,3000,1.43
LADA,Priora,mechanical,black,73000,2011,gasoline,gasoline,hatchback,front,3800,4.29
LADA,Vesta,automatic,red,38000,2018,gasoline,gasoline,universal,front,12999,1.70
LADA,Vesta,mechanical,orange,13000,2019,gasoline,gasoline,universal,front,13300,3.87
LADA,Priora,mechanical,white,106600,2015,gasoline,gasoline,sedan,front,5200,3.79
